Style,Standard
Append Mode,1
Fill Mode,1
Capacity,10000
Count,10000
Base Time Seconds,1579766407
Base Time Fractional,.429090460
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.00471369177103,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.657790440
2,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.658254160
3,0.004714392125607,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.658714820
4,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.659180220
5,0.00471369177103,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.659638700
6,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.660104220
7,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.660564160
8,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.661020820
9,0.00471369177103,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.661474940
10,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.661934040
11,0.00471369177103,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.662399140
12,0.004714041948318,Watt DC,1,3.5,F,F,F,F,F,F,Front,F,Main,0.5000000000000,Volt DC,10,T,2W,F,F,01/23/2020,08:03:25,.662870680
